sentence,sentiment
ওয়ও আমি গর্বিত বাঙ্গালি,1
বাংলাদেশ এর কিছু মানুষ নিজে কিছু করতে পারবেনা আর অন্যকে কিছু করতে দিবেনা,0
রামোসের ঘুম আসে না,0
কোহলির প্রতি শ্রদ্ধা হারিয়ে ফেলছি,1
থ্যাঙ্ক ইউ মাছরাঙ্গা টেলিভিশনকিন্তু ছাপোষা আন্দোলনকারীদের কি হবে,0
এই পষ্টে লাইক না দিলে বড়ই অন্যাই করা হবে নিজের সাথে,1
এত দিন হল এওয়া্রড দিল অনুস্ঠানটি সম্পুর্ণ স্টার জলসার টুকপি আমি খুব লজ্জিত হয়েছি এওয়ার্ডটিও ছিল মূর্তিআর সাংস্কৃতিক কর্মীদের গলা কত বেহায়া হওয়াটাই যেন তাদের আসল কাজ,1
আজ আমাদের মাতৃভাষায় বলতে চাই বার্সা আমাদের হৃদয়ে বাংলাদেশী কিউল হিসেবে আমি আজ অনেক গর্বিত বার্সাবাংলাদেশ,1
তিন মোড়লের ষড়যন্ত্র নিপাত যাকআইসিসি মুক্তি পাক,0
এর বিচার চাইবাকরুদ্ধ হয়েগেলাম,0
ভিডিওটা দেখে চোখে পানি চলে আসলোসালাম তোমাদের,1
এটা ভালো বলছেন,1
বিসিএলে দুর্দান্ত লিটন শুভাগত অথচ জাতীয় দলে তারা নিজেদের ছায়া,1
সিজন ধরে রাউন্ড অফ সিক্সটিন এ আটকে আছে,1
কেন সাধারণ মানুষ ধর্ষিত হচ্ছেনির্যাতিত হচ্ছে এটা কি কম পাওয়া নাকি,0
মাবিয়ার ভিডিওটা যখন প্রথম ফেসবুকে দেখেছিলাম তখনও চোখের পানি ধরে রাখতে পারিনি আজও পারিনি সেদিন ভিডিওটা আমি ফেসবুকে শেয়ার করেছিলাম আজও শেয়ার করবো শুধু মাবিয়ার প্রতি ভালবাসার জন্যই নয় চারজন চমৎকার আর অসাধারণ যোদ্ধার প্রতি সম্মান দেখিয়ে শেয়ার করবো আর মাশরাফি চমৎকার এই ভিডিওটি যারা বানিয়েছেন ও তার সাথে সংশ্লিষ্ট সবাইকে আমার সালাম,1
বাংলায় যে একটি প্রবাদ আছে দূর্জন বিদ্বান হলেও পরিত্যাজ্য সাকিবই তার জ্বলন্ত প্রমাণ আমি মনে করি বিসিবি খুব ভাল এবং যুগোপযোগী সিদ্ধান্ত নিয়েছে,1
অনেক অনেক শুভেচ্ছা ও শুভকামনা রইলো,1
আনন্দ লাগছে আবার দুঃখ লাগছে,0
চাচা পাবনা কত দূর,0
আমি অন্যের কথায় চলি না,1
খুব সুন্দর লাগছে,1
এদের সব দেশে ক্ষমতা রয়েছে,0
রুবেল তাসকিনের অগ্নি গোলক ছোড়া বলের জন্য দোয়া করি,1
এত এত মানুষের দোয়া আল্লাহ নিশ্চয় কবুল করবেন আর দেখবেন তাস্কিন আবার ঠিক ফিরে আসবেই,0
ঝগড়া নয় শান্তি চাইএত টাকা খরচ করেছোখুব ভাল হয়েছে ভাইবুঝা গেল তুমি কৃপন নও তুমি বৌকে ভালোবাসা শ্রদ্ধা দুটোই দিলেকিন্তু খেয়াল রাখতে হবেমানবতা আছে বলেই আমরা মানুষতোমার বিশাল এই সম্পদ যেন মানবতার কাজেও বিশাল হয়ে ধরাদেয়তাহলে আজ যে নিন্দা করবে কাল সেই গুন গাইবে,0
ব্যবহারে বংশের পরিচয় গালি কখনো কোনো ভদ্র ও শিক্ষিত লোকের ভাষা নয় গালির প্রচলন কোন ধরণের সমাজে আর পরিবারে তা সবারই জানা,0
সমাজ থেকে মানব কল্যাণ রকম কাজগুলো হারতে বসেছিল এই নায়কেরা এগুলো কে উদ্ধার কিভাবে করতে হয় শিখিয়ে দিল,1
খুব ভালো আমার মা আমার কাচে নায় অনেক দুরে তায়আমি নিজের হাতে মাকে পা দুহাতে পারচি না,0
টয়লেট আছে তো,0
অযথাই হাসে,0
অন্ধত্ব,1
আমার ফেসবুক আইডি দুষ্কৃতিকারী কর্তৃক স্পাম এ আক্রান্ত যে ম্যাসেজ আপনাদের কাছে গেছে ইহাতে আমার কোন হাত নাই ইহা ভাইরাসে আক্রান্ত দয়া করে কেও ভুল বুজবেন না এমন অন্য কারও কাছ থেকে ম্যাসেজ গেলে ক্লিক অথবা ছিন করবেন না এর পর থেকে আমি আমার থেকে পারছি না পাসওয়ার্ড চেঞ্জ করেছি ব্রাউজার চেঞ্জ করছি লাভ হয় নি এখন শুধু মোবাইল দিয়া চলে যদি কেউ এর সলুউশন পান প্লিজ,0
ভি‌ডিও দেখার পর ‌কিছু বলার ভাষা হা‌রি‌য়ে ফে‌লে‌ছি ধন্যবাদ প্রথম আ‌লো‌কে,1
এই গান কোনদিনও পুরনো হবে না মনে হয়,0
এইসব লোক মীরজাফরের বংশধরএরা ঘরের খেয়ে পরের সুনাম করেএরা যেকোনো দেশের সবচেয়ে বড় দুশমনএদেরকে য়েখানে পাওয়া যাবে পাকড়াও করে খাঁচা বন্দি করা হোক,0
যেই সব জানয়ারেরা এইটা করছে কঠোর শাস্তি হওয়া উচিত তাদের,1
হাঁসের মত বিষ পয়োগ মারা উচিৎ,0
মৌ রাখী মেয়েদের জন্য এদেশে সবচেয়ে বেশী ঝুকি পড়া লেখা করাটা লেখা পড়া বন্ধ করে দিলে ভালো হয়না,0
বোলিং এ্যাকশান আগেই বৈধ ছিল বিশ্বকাপে বাংলাদেশেকে একটা ধাক্কা দেওয়ার জন্য দুজন মূল বোলারকে অবৈধ এ্যাকশানে ফাঁসানো হয়েছিল কতিপয় ক্ষমতাধারীরা বাংলাদেশের সাফল্যে হিংসা করে তাই আর এটাই ছিল তার প্রমান আশা নয় বিশ্বাস করি ওরা বল হাতেই তার দাঁত ভাঙ্গা জবাব দিবে আমরা ওদের সঙ্গে আছি সবসময় আবার গর্জে ওঠো বারে বারে গর্জে ওঠো,1
বাংলাদেশ আর বাংলা ভাষার জন্য সত্যই অন্যরকম এক সম্মান ও ভালোবাসা বার্সা শুধু দল নয় দলের চেয়েও বেশি কিছু,1
ভাই আজ সারাদিন অনেক মন খারাপ ছিলআপনার লেখাটা পড়ার পর মনে একটা বল চলে আসলবুকে আসেন ভাই,1
গুড নাইট জালিয়ে দাও তাহলে মুশা মারা যাবে আর আমরা টাকা গুলো ভাগ করে নিবোকি আইডিয়াটা ভালো না,0
এটা আমার কাছেও বেস্ট লাগছিল,0
আমাদের মাথায় এতো বুদ্ধি,0
ঈশ্বর এদের কখনো ক্ষমা করো না,0
আমি এখনো যৌক্তিকতা খুঁজে পাইনি যে শিক্ষা কিভাবে পন্য হলোকারন পন্যের উপর ভ্যাট আরোপ করা হয়,0
এবারই মনে সব অপরাধীদের ধরে ফেলবে বাংলাদেশ,0
এখানে একটা কিনতু আছে,1
ধন্যবাদ প্রথম আলো কে বলার জন্য,1
খালেদা কে নিয়ে সবার মাথা বেথা কেনো,1
মিথ্যুক,1
সুসংবাদ,1
গর্দভ,1
নেতা‌দের এমন হওয়াই উচিতযারা সমা‌জের সবার সা‌থে মিস‌বে‌দে‌শের জন্য কাজ কর‌বে তারাই তো নেতা,1
সুন্দর হয়েছে,1
আজকের দিনে মনের ভিতরে ঘুরা কথা গুলোই ফুটিয়ে তুলেছেন ভাই ভালবাসি ভাই,1
গ্রামে এ ধরনের ঘটনা অহরহ ঘটে স্বপ্ন গুলো এভাবেই গলাটিপে হত্যা করা হয়এমন ঘটনার জন্য কঠোর বিধান ও প্রয়োগ করা উচিতঅবশ্য কাপুরুশ কুলাঙ্গারগুলো গভীর রাতে এ কাজ করার সময় বেচে নেয়,0
